Gene_symbol	NCBI gene ID	Naive	iTreg	nTreg	Th1	Th2	Th17
0610009B22Rik	66050	0.5830905	16.349140499999997	5.26136	11.8439875	9.794549499999999	23.56146
0610009O20Rik	66839	15.400500000000001	11.985199999999999	23.772750000000002	20.34	16.2647	17.64695
0610010F05Rik	71675	2.75210684	12.857958977700001	2.8187285031	3.34231490045	1.8645479000000003	15.727402999999999
0610010K14Rik	104457	60.68628490275	99.9988575088	106.3612685	75.801518	71.98696000000001	57.49114175
0610012G03Rik		14.76115	69.48859999999999	29.60955	24.3193	22.169849999999997	23.86905
0610030E20Rik	68364	30.3988182673	16.461885	15.254137999999998	17.514893	15.085481999999999	18.806702
0610037L13Rik	74098	45.7160685	47.9535526909	58.8372805	19.736216	24.8461095	38.7441800703
0610040J01Rik	76261	0.5729065	0.1438885	0.071226	0.3257937	0.11591004999999999	0.8750222
1110002E22Rik	102634333	0.00943465	0.0	0.0326025	0.05290075000000001	0.001150975	0.006402689999999999
1110004E09Rik	68001	9.6102225	87.62058499999999	12.406435	21.207877	10.8214285	26.5453745
1110004F10Rik	56372	69.161637	78.273519	67.1470365	74.24213	60.933721000000006	126.5904455
1110008F13Rik	67388	31.582120000000003	183.53856100000002	46.220105000000004	117.2646	87.123645	90.1217865
1110008L16Rik	66132	3.2123815000000002	5.7432103879500005	6.1304089	7.964230000000001	4.747754499999999	11.806631
1110008P14Rik	73737	21.156534999999998	79.398748	50.32829	30.323481	43.2802105	34.483871
1110012L19Rik	68618	2.03471	5.289935	6.366230000000001	13.273050000000001	11.52945	11.831399999999999
1110017D15Rik	73721	0.016837900000000003	0.0	0.268129	0.0	0.0217465	0.1132891
1110025L11Rik	68637	0.0	0.0	0.0	0.0	0.0	0.0
1110032A03Rik	68721	8.355231	25.608818199999998	13.959398499999999	9.604745000000001	4.5786675	13.79976873295
1110032F04Rik	68725	6.174300000000001	91.09975	11.433599999999998	5.39865	19.46845	13.1564
1110034G24Rik	73747	28.844798	6.603579999999999	31.117437000000002	8.362295	17.4718295	14.192603
1110038F14Rik	117171	24.241349999999997	42.58875	26.78635	27.13915	26.52735	29.536500000000004
1110051M20Rik	228356	9.443023	10.60287405	25.223865500000002	10.487566000000001	4.494006000000001	24.822703000000004
1110057P08Rik		0.0	0.0	0.0	0.0	0.0	0.0
1110059E24Rik	66206	8.050811999999999	8.1067220622	13.5000615	46.731042	18.556599	49.090725
1110059G10Rik	66202	14.780085	19.841853999999998	11.5684	12.390276	10.175869	19.478455
1110065P20Rik	68920	9.647071500000001	69.72927265000001	10.9879325	9.71268815	9.4960175	13.954085999999998
1190002N15Rik	68861	8.4635	7.2438199999999995	6.047145	21.23475	10.09114	31.9583
1190005I06Rik	68918	1.0928125	1.8571950000000002	2.230195	0.1868614	5.940770499999999	0.8581075
1190007I07Rik	544717	10.62949655	28.9080485	14.860638999999999	11.770971	13.624064	22.0153695
1300017J02Rik	71775	2.3904186000000003	0.0	5.1780165	0.21186775	0.37040892500000006	1.16808340985
1500009C09Rik		0.0079701	0.0	0.119113	0.0	0.0	0.0186067
1500009L16Rik	69784	0.12380015	0.6479205	4.6065755	20.3718583	8.4964323	2.180818
1500011B03Rik		31.216900000000003	13.541115	12.925025000000002	11.75525	15.249815	15.37911
1500011K16Rik		8.210595000000001	35.72305	24.42265	20.13285	18.3556	10.005805
1500015O10Rik	78896	0.164145	0.0	0.7800365	0.2477515	0.1222649	0.377428
1520401A03Rik	320309	0.04709185	0.0	0.28733780000000003	0.12802476499999998	0.05968344	0.206076015
1600002K03Rik	69770	18.15615	11.493915000000001	16.7609	12.34365	21.902	12.7912
1600012H06Rik	67912	8.294557000000001	5.19056	7.5127679999999994	9.8578795	10.926561	17.026847
1600014C10Rik	72244	16.726806500000002	72.84781000000001	51.795052	45.195637500000004	40.899631	142.56755750000002
1600014C23Rik	72240	0.0	0.0	0.0	0.409049	0.13250155000000002	0.35229
1600015I10Rik	69761	0.0	0.0	0.0	0.0	0.0	0.0058279
1600029O15Rik		2.6149465000000003	0.16151175	0.8866975	0.195819	0.766371	0.7462194999999999
1700001C02Rik	75434	0.0	0.0	0.0	0.0	0.0	0.0
1700001C19Rik	75462	0.1241585	0.92557435	0.23244800000000002	0.26427465	0.745297	0.521848
1700001F09Rik	71826	0.0	0.0	0.0	0.0	0.0	0.0
1700001J03Rik	69282	2.53475	0.0	3.665347	0.5146795	0.5787505	0.2506955
1700001J11Rik		0.0	0.0066053	0.0	0.0	0.0	0.0
1700001K19Rik	66323	3.22161	1.28259	3.16647	0.12472500000000003	0.5066615499999999	1.7075825
1700001L19Rik	69315	0.3855535	0.0	0.0	0.0	0.0	0.044548199999999996
1700001O22Rik	73598	0.8656469514	3.5924899999999997	1.427801	3.2840683000000004	0.87513875	2.794325
1700001P01Rik	72215	1.77596	0.0	2.69028	0.2453805	0.31225349999999996	0.8944505
1700003E16Rik	71837	0.0	0.0	0.03322285	0.09484075	0.024684300000000003	0.03418365
1700003F12Rik	75480	2.368226	2.304951	1.6399335000000002	0.16528535	0.0789062	0.5068561
1700003H04Rik		0.0	0.0	0.0	0.0	0.0	0.06543735
1700003N22Rik		0.14404955	0.0	0.0	0.0	0.0	0.0
1700006A11Rik	71824	0.0	0.0	0.0	0.0	0.0	0.0
1700006E09Rik	75437	0.0	0.0	0.0	0.0	0.0	0.065618
1700007E05Rik		5.4500235	0.1020025	1.916013	0.10029144999999999	0.2602822	1.5771755
1700007G11Rik	75784	0.0	0.0	0.0	0.0	0.0	0.0
1700007K09Rik	69318	0.0322962	0.0	0.694812	0.03432035	0.22652095	0.9022925
1700007K13Rik	69327	0.0	0.3632295	0.0	0.37877655	0.7108255000000001	1.291215
1700008O03Rik	69349	1.0412949999999999	0.08217599999999999	0.6995595	0.25068429999999997	0.965507	0.28121114999999997
1700008P02Rik	69347	0.0	0.0	0.0	0.0	0.0	0.0
1700009N14Rik	75471	0.0	0.02763365	0.0	0.0	0.0	0.0
1700010B08Rik	75485	1.019896	0.0	0.25195449999999997	0.0	0.01757485	0.266263
1700010I14Rik	66931	1.1321005	1.2425945	1.877251631	4.000439	3.186557	3.217864
1700010N08Rik		0.0	0.0	0.02762970000000001	0.0	0.005237	0.0
1700011H14Rik	67082	0.464916	0.0	0.42008799999999996	0.00431898	0.013592525	0.20170565000000001
1700011I03Rik	75444	0.0	0.0	0.0	0.0	0.0	0.0
1700011L22Rik	67687	0.13386735	0.0	0.367475	0.0	0.015922799999999997	0.16286699999999998
1700011M02Rik		0.0	0.0	0.0	0.0	0.0	0.0
